,title,review
10,Squid Game,I loved it but three last episodes killed the vibe.
11,Squid Game,"This series is so overrated. But let's be fair, it's a very good series. I've watched a few movies about it. The script was good. Acting was sometimes exaggerated, maybe it's a cultural thing. I did not like the final part. Overall very well done. In the final episode, my expectation was different. But the final scene was disappointing. Season 2 will come, I hope it doesn't fall into ""La Casa De Papel"" status."
12,Squid Game,"I honestly don't know wtf the main character needed to go into the room where the old man was, dye his hair red and not attempting to board the plane. At the beginning I was having expectations that it would be thrillingly good which it was but the ending just didn't do it for me chief...."
13,Squid Game,It's good because it was on Netflix and everyone who sawed this show also liked it.A show that exceeded expectations because it was so good and had wicked scenes.Oh man. I loved this show very much. The acting and premise was a Glorified excellence.Please watch squid game. Haha. Seriously. It's so good because it was on Netflix.
14,Squid Game,"Greetings from Lithuania.I liked and enjoyed ""Squid Game"" (2021) series for its interesting and simple concept which at the end of the day was very solidly executed. Acting was very solid, as well as directing and writing. The whole concept felt fresh and kinda original and it was easy to get attached and watch the whole show. Ending was also pretty interesting, although a bit predictable.Overall, i enjoyed ""Squid Game"". It felt fresh and was involving as well being believable throughout. I believe that given its popularity it will get more seasons. As long as they will be solid as the first one, I'm in for this show."
15,Squid Game,"Squid Games (2021) is a series my wife and I recently watched on Netflix. The storyline follows people who choose to play child's games competitively for money that could change their life forever. Shortly after they arrive they discover the price for losing is rather expensive. This series was directed by Hwang Dong-hyuk (The Fortes and My Father) and stars Lee Jung-jae (New World), Park Hae-soo (Time to Hunt), Oh Yeong-su (Spring, Summer, Fall, Winter...and Spring) and Jung Hoyeon (100%: Beat). The storyline for this series is very unique and was a creative spin on similar films like Battle Royale, Hunger Games and Lord of the Flies. The concepts were well thought-out and paced and the characters are very well developed. The storyline and characters evolve well throughout the series. The games and settings are amazing and they used great colors and cinematography to present each scenario. The costumes and props were obviously outstanding as well. My one complaint was the main character who was painfully annoying throughout the series and completely ruined the end for me. The gore and kill scenes in this are unique and very well done. I'd score this series a 7.5/10 and would consider it an absolutely must see."
16,Squid Game,"I recently got into Netflix again I take breaks and use other services glad I finally decided to watch this whacky series! Probably get hate for this but I watch the English dub version cause I don't do well with subtitles still lovable show. The music, flow of everything, absurdity, and story is all excellent!"
17,Squid Game,"Squid Game is no show that hit me that much - I watched a couple of episodes and was rather bored, I would prefer to watch some real MMA fights - more excitement and action going on, and less drama. The first episode dragged on and on and on till the first real action. The second episode was a rather redundant detour of the story. The idea or concept is also nothing really new: Stephen King aka Richard Bachman, The Long Walk and The Running Man, or movies like Battle Royal, The Hunger Games, Death Race, Circle, Cube or 13 and many more precede Squid Game. So what's left? Some nice ideas (the games), some solid action and a sip of blood, but with too much uninteresting filler time. Summa summarum: Not that bad but rather just another hype, just my few cents of course."
18,Squid Game,"Korean Drama ""Squid Game"" is bloody, but, somehow, hopeful.It has a nice cinematography, with, sometimes, overused gore, but well executed action scenes. The background stories, moreover, set the drama apart from the rest of the survival game series, and it gives a more 'Korean Drama' feel to it. It makes the story more believable, as it helps the viewer relate to the characters and understand them. It also gave a more humane twist to the story and made it more dramatic, when the settings and the costumes were more on the childish side.Finally, the performances were great by everyone in the cast.So, overall, 7 out of 10."
19,Squid Game,"Creator and director Dong-hyuk Hwang certainly had one crazy vision, and successfully made a series of it. Sure it has plot and technical issues, and I wasn't fond of the ending - I re-wrote it in my head much better, but for a somewhat newb Korean filmmaker, this was epic.The visuals, props and sets were outstanding. The cinematography and score amazing. The casting and performances by all, except the VIP's, was excellent. Props to Neflix once again, and thanks for dubbing this one right this time. Hoping for a S2 real soon. A well deserved 8/10 from me."
20,Squid Game,"This is another version of The Hunger Games. Contestants are killed without knowing there is a death result from Green Light, Red Light. The majority choose to leave so they go. However a lot come back for the second contest, willingly.The contestants play against each other in a survival of the fittest contest. They play Korean children games, killing each other.If your ""friend"" was going against you for money, would they kill you?"
21,Squid Game,"Ep1 wonderful drama that we love, protagonist of dubious character, we didn't even root for him, but I loved his rambunctious behavior, Chips 1, 2, 3, bizarre in the way we love... T2 more drama than blood, we love it too... Ep4 Loving the jokes of macabre and bloodthirsty children, catching love for the characters, and hatred for the villains...
Ep 6 the construction of the characters was perfect, the games give a sarcastic and sadistic tone, however the dialogues are the high point, with that black humor that the Koreans do so well, the conversations between the characters are intelligent, with a quick script, everything very captivating and mesmerizing, the players and the undercover cop, showing the other side of the game... Lovely..
Ep 6 And the marbles game brought me a few tears, this was the game where the most innocent characters die, like the Pakistani who just wanted money to help his family who stayed there, his naivety and trust cost him his life , and the girl who killed the father who will kill her mother, and who has just got out of prison, and in the end gives up the game for her partner, perfect scenarios...
I finished Round 6, completely in love, I already loved Korean movies, it just came to reaffirm their competence, perfect, everything perfect, I loved the dialogues, super mesmerizing script, the perfect effects, everything great in this production, I even cried... Beautiful, beautiful... But I saw many truths there, in real life it would be more or less like this..."
22,Squid Game,"A group of desperate people agree to play high-stakes children's games, and then find how high the stakes really are. The show is an odd mix of nonsense and excellence. The premise is interesting but the ultimate revelation about the games and their founder is simplistic and does little explain the provenance of the vast, complex yet secret game venue. There are some hints at secondary plotlines but they go nowhere and the introduction of wealthy gamblers is a heavy-handed social-commentary that adds nothing to the story (and leads to the weakest moments in the series). The acting and characters are excellent and the dark shifts in their motives and ethics as more and more players are 'eliminated' is expertly done (episode 6, ""Gganbu"" is a highlight). The imagery, especially the creepy geometric enforcers, the 'play grounds' and the multicolored stairs that look like something from an Escher etching is memorable (and may be what really sets 'Squid Game' apart from similar 'deadly games' series). The film is quite violent, both in a cartoony way and in a more visceral 'realistic' and disturbing way. Not to everyone's' taste but entertaining and compelling."
23,Squid Game,"A superbly and psychologically deep series that you watch, finish and ponder upon. Just loved the old man with his super charismatic aura and beautiful witty smile.The season's ending is a little ambiguous and as some reviewers mentioned, I too, like it to finish as it is and not come back with a second season that wouldn't do real justice to the S-Korean cinematic culture.They produce, they film and they finish. They do not come back repeatedly..."
24,Squid Game,"A great concept here as desperate people with financial problems compete for a huge sum of money(apparently $38 mil American). They must play games against one another with a severe penalty for losing. Like the Sopranos, with some of the episodes better than others. Number six was the best for me. The sets are Wes Anderson like, with bright colors filling the screen. The lead actors are excellent and the scripts very well written. The violence is over the top with no comic relief in sight. The final episode was a bit of a letdown but overall I was highly entertained."
25,Squid Game,"The usage of children games in an adult world is catchy, but the realism behind all this is somewhat shaky - South Korea is no ""Wild West"" and one can hardly think of events like this happening there, with so large body count... The idea of fierce contests with elimination has been utilised before, plus it is hard to maintain a thrill when there are leading performers from the beginning apparently not dying before the end...Underplots are not too elaborate and they tend to ""mince"" the main plot. Luckily, this anti-capitalist idea is not overhanging too much. The number of episodes could be less, but some good twists in the final one elevated the thrill that began to fade away in e.g. Episodes 7 and 8.However, the performances are interesting, so different for the Western ones, how they react and how they depict, with men more versatile though. Lee Jung-jae and O Yeong-su were most to my liking, the latter providing a nice twist towards the end as well...Season 2 might be underway - based on the ending scenes... I would probably watch it as well. But not impatient though."
26,Squid Game,"The South Korean nine-episode ""survival"" action/drama series ""Squid Game,"" which debuted on Netflix in September of 2021 to international acclaim, is just the latest in a long series of TV shows being imported from Asia that are action-packed, emotionally engaging, and extremely & brutally violent. ""Squid Game,"" which takes its title from a Korean children's game, revolves around people from all over South Korea, all of whom are in terrible financial debt, who risk their lives to participate in a series of deadly contests that are based on children's games. If they survive all six games over a six-day period, they'll walk away with a whopping 45.6-billion won (roughly, a little over $38.5 million in U. S. currency) cash prize.So far, the ending of the first episode has me hooked. Let's see where things go from here...9/10."
27,Squid Game,A tentacular dystopian vision of the depths those deserted of luck will descend to in order to recover their losses. Combines schadenfreude shades aplenty alongside some outstanding performances while asking some questions you might not want to find an answer to.
28,Squid Game,"I genuinely enjoyed this show from beginning to end. A true social commentary on humanity, competition and avarice. When the carnage is occurring it's nail-biting and between the games you get compelling human drama - a fantastic addition to the ""kill game"" genre that seems to always be elevated by Korean talent behind and in front of the camera."
29,Squid Game,"Yeah, this series is pretty awesome but I don't think it needed another season. And that is the problem, you can feel them stretching out for another season. Greed killed this series for me and nothing else."
30,Squid Game,Entertaining and demonstrating human nature via this drama. My conclusion is not to be poor otherwise become a chess from rich.
31,Squid Game,"One of the most beautiful series I've ever seen, finished in a few days one episode led to another and the desire to follow the series increases more and more. The tension is built very well game by game and the main characters are really well developed."
32,Squid Game,"I found Squid Game a hard show to put down. Once you immerse yourself within this show it feels all too real and scary. I find dark shows more engrossing perhaps because they seem realistic and possible. Human nature has a dark and sometimes unforgiving side. This is why shows like Squid game and Black Mirror trend compared to very PG and convenient shows where the good guys always win.Another thing to celebrate here is diversity and globalisation. Squid game, being a Korean show which is set in Korea with Korean actors has broken viewing records. The power of Netflix, through its streaming, has crossed international boundaries and reached so many people. We didn't need to see big Hollywood names or familiar settings in New York or LA. Korea and its brand of actors delivered a great show. Borders in a sense have been broken, coincidentally in a time when a virus physically forces them to close.This show was thought provoking and makes you ask really think about life in general. We're all trying to get rich. But being rich doesn't buy happiness nor does it buy you health."
33,Squid Game,"This is an entertaining series from South Korea that embodies elements of Korean Soap Opera, Chinese Operatic acting and Japanese theater. It uses classical Chinese opera techniques such as the wide open eyes to portray fear and anger....and a lot of shouting.It uses ""Hunger Games"" as it's base and survival of the fittest as its main theme. The story is well crafted but unfortunately starts to lose its grip on reality by about episode 4. It then slides into a lot of moralizing and philosophical conversations that culminates in the final episode. It is set up for a second season (if one can judge from the final episode) but runs the risk of becoming very formula driven Have to agree with the other comments about the group of ""actors"" playing the VIPs. They obviously came cheap and might not even have been actors at all! Enjoyable for what it's meant to be!"
34,Squid Game,"So, having heard much about this show and of course the controversies, I knew I had to give it a watch.The show follows 456 players who engage in child like games in order to win £££ prize money, but don't realise how deadly the stakes for the games are!I found the show to be great for the most part, the games they set for the players are dark and twisted versions of the kids games we all remember from our childhoods, I'm 27 by the way! The sets were good, the characters were good especially the lead and the english dubbing wasn't too bad! The TV Show is gory & dark in a lot of areas & reminds me of the Hunger Games crossed with Saw!The only things that I found were off were the filler parts of the Show, the talking parts, the drawn out scenes all seemed to drag quite a bit, ok character development is a must, but cutting it down & getting to the point is also a must not to mention consistancy!Overall, it's a good Show with a creative premise and good story to follow! The games are creative with their own dark & sinister twist to them! The Show does drag in areas, but is pretty entertaining all the way! Roll on Series 2!7/10."
35,Squid Game,"Squid GameA very simple idea taken to extreme lengths. Much of the show was derivative, I can recall so many TV shows and films that had elimination by death of the contestants (Hunger Games , Logan's Run etc)leaving only one. Even the music was taken from 2001, A Space Odyssey. With that said several elements bought a brutal honesty to the narrative.Firstly rather than merely fortune hunters the contestants were desperate (bunch of losers), so desperate they were at the last chance saloon.The varying ages and circumstances brought a refreshing touch to a totally surreal reality this juxtaposition of tone was definitely something new.We had some great characterisations this meant we really cared about whether they lived or died, no moment was lost in developing this area.Following episode 1 the script writers wanted to drive home the ""losers"" back stories and how in financial extremis the possession of life and money can lay on either side of the weighing scales, inferring perhaps that a single human life does have an intrinsic monetary value. A deeply disturbing thought!The sterile styling of the game makers brought a sinister teletubbies element combined with the island of Dr No, not to mention the Escher type staircases.The introduction of some rather slapstick humour in episode 3 largely fell flat but the sugar game was very inventive as were the contestants solutions.Episode 4, the opening fight sequence indicated it was a fight for survival of the fittest and for a person to rise to the top others must fall to the bottom. There were some very clever devices used to keep the narrative impetus in what was otherwise a repetitive blandness. I thought the soldiers ""side-hustle"" of selling organs was brilliantly conceived.In episode 5 the leader explains that the players are starting again, within the game, from a position of equality, but this is a lie, as age, sex, education and experience delineate the competitors, just as it is in the ""real"" world. This was self-evident in the very next scene where women were deemed ""worthless"".The ending was so silly, money brings the power of choice, wealthy people have no clue how much money they have, better to be unhappy rich than unhappy poor.Obviously as an anthropological/psychological study it gave a basic review of id drivers, (mainly the instinct to survive) there was no revelatory insight here, it was just great entertainment because we must remember instinct knows no morality.Within its genre of dystopian fiction it was a winner, it must be remember the effect of dubbing and subtitles makes art products more profound and so it was here. Overall I enjoyed it but it had a fatal flaw in that even in episode 6 contestants stated more than 1 person could win, when this is idiocy. In terms of violence I found nothing but ""manga"" comic book action, interesting but nothing shocking!I'm giving this a 6 outta 10, meaning I enjoyed it whilst I watched it but I never want to see it again. It was refreshing in that there was absolutely no snowflake woke fashion trend elements to this relatively low budget drama, I should give it a 10 for an authentic product in an unauthentic world.I read somewhere the writer wanted the show to highlight the disparity in class within a capitalist world, well that intention was an abject failure, it was gladiator for losers."
36,Squid Game,Squid game is a great TV show and talk about a big problem in society and this is about money. The TV show talk about this theme trough all the episodes and how far will go someone without money and how far will go someone with money. I enjoyed the TV show: it have some great moments and heartbreaking sometimes. Some mysteries also and some big revelations. I enjoyed also the end who have more a psychological point and a different perspective of why they did all the stuff arround the squid game and i found it pretty believable and great to watch. I will recommend anyone to watch this TV Show. It was quite good.
37,Squid Game,"I don't know if it's a must for Netflix shows to become lame at the very end. It became very far-fetched and melodramatic and Gi-hun signaled virtue the whole time as if he didn't get back to the game while he knew he had to kill people and as if he didn't cheat the old man at the marble game. I wish he just stood up and admitted what he did. His mother died and he helped the mother of the other finalist (that stabbed himself in the neck at the squid game) by giving her the money and then took the North Korean girl's brother from the orphanage and before flying to the US to see his daughter, he called the corporate again to make them pay back. And another thing is that the old man was in fact the Korean Jigsaw in the game. He was rich so he wanted to lose track of time just like he'd do when he was a child so he did all what he did. And he died at an empty flat right before the sleeping old drunk man in the street received help just like Gi-hun. He died a few seconds before midnight as if we needed more far-fetched stuff.I enjoyed the show except for the final episode. The idea and the execution was good and the acting didn't take me out of it except for the actors who play American guests. I like the characters and their background stories. And on top of all this, there's this amazing episode 6 so I rated it 8 out of 10."
38,Squid Game,"One of the best and most interesting shows I've seen in recent years. I was hooked right from the start. Far out plot, wonderfully unique and layered characters, and a true breakneck pacing that's sure to keep you glued. I went in rather skeptical since hype has often let me down, but I can honestly say I was dead wrong. As soon as the credits rolled on the final episode, I had half a mind to start a rewatch with the new perspective the ending grants.Incredible."
39,Squid Game,I really loved this shot series best series of the uear no question asked but the ending kinda bad but overall fantastic.
40,Squid Game,"Squid Game isn't easy viewing at all; and I believe that it was meant to make viewers uncomfortable and distressing as all hell, because that's what desperation with life-and-death situations are truly like, and it can actually break who we are as people.456 players, 45.6 billion South Korean won, six games, and only ONE player can come out as the grand champion after everyone else has been killed. To make matters even worse these people were kidnapped off the streets because of their debts to collectors, yet outside the world is far more unforgiving than the brutal takes on classic kid's games.Netflix managed to strike gold with this show, which I guess took off because of the pandemic's devastating effects on ALL of society, and the themes of desperation and survival resonated with anyone and everyone who tuned into this breakaway mega-hit. It got people so invested it became a massive meme, where people parodied the thing, cooked up fan-theories and mocking the show's all-English dub.In spite of the showy production values in Squid Game, the characters are still very much like real people who've got real frustrations, real tension inside them, and very real everyone-for-themselves urgency to their character arcs. Squid Game is still a grounded story in spite of its SELECT sci-fi/spy-fi trappings and comic-book-like iconography with the 'PlayStation Men' and mysterious leader.Squid Game is Netflix's unexpected phenomenon; and I reckon there'll be those who understand and appreciate it and those who won't.Memes or no memes, this is a show definitely worth your time."
41,Squid Game,"Review By Kamal KDark portrayals of greed, low self value and distorted view of reality based on the twisted social standards that are rooted in the obsession over money that takes away all the joy of life - all wrapped in a completely unrealistic scenario sprinkled with dark comedy tone, that emphasizes the absurdity of the characters' choices and behaviors.The childlike locations and games present a drastic contract to the brutality of the scenarios the characters are facing. The game creators put themselves in the position of innocent keepers of the rules, and any tragic deaths are the fault of the participants for breaking them. No one is forced to participate - you signed your death certificate yourself.Survival in the game and survival in daily life serve as another good contrast - the physical brutality versus the emotional and existential dread. It's more than survival games drama, the true horror is the reality of these people outside of the games and what they can do in the given situation to change it.Blood and murder are this show's best friends, be aware of that before watching. Realistically speaking, this is not some new higher level of gruesome scenes, but they don't shy away from showcasing deaths and accidents.The acting from all the adults was truly amazing. Like in any drama, some roles had more depth and were more demanding than others, but none of the characters felt like an empty placeholder to fill the scene.But then we had the group of foreign actors with such an exaggerated line delivery, I was thinking I'd rather mute the screen. Not one of them did a good job. All sounded like licence free sound bites.Any flaws or complaints?Depends on what you are looking for. Do not expect any elaborate death traps and clever tricks - it's far more simple. It is pure survival with technically simple rules and games. You won't wreck your brain trying to understand what is going on, since the plot is rather straightforward with no unexpected plot twists that turn the whole plot upside down.You might want to sit down and analyze the message of the show and what might be the meaning behind. Depending on the viewer it could be a decent kill count watch with a bit of excitement, or a depressing portrayal of collapsing morals and society, as the money sucks all the joy out of our lives.There has also been a random sex scene, and I don't think we needed that ""final"" nail in the coffin - it was clear even without it that people would do anything for survival and money.Some details make exactly zero sense, and I truly mean zero. If you are lucky, you will not notice them at all, since they are less than minor. Squid Game is not exactly free from plot holes, but none of them have a big impact on the story. Some plot lines do hit the dead end though.Overall, it was a brutal drama, yet somehow I found myself laughing at quite a number of scenes. The dark comedy, calling out the hypocrisy - all that was truly amazing. 2/3 of the show was a solid 9.5, and I'm a bit frustrated with where the show went after that. Still, quite an enjoyable watch, with interesting set designs, well written characters and some solid thrills. They were able to get me attached to the characters and feel their desperation and pain."
42,Squid Game,"Not sure about all the hype but certainly great fun and slickly made.Nothing really new in the plot. Rich bored gamblers making desperate humans kill each other for their enjoyment.I guess the difference between this and so many before is the excellent character development and talented acting. Direction, cinematography all good. I think Alice in Borderland was slightly more adventurous but this was certainly slicker.A great binge watch!"
43,Squid Game,"The series takes specific aim at South Korea but it's certainly universal in 2021, especially as the coronavirus pandemic has laid bare so many injustices. Superb acting performances heighten the drama and particularly from Lee, who makes Gi-hun irresistibly likable despite his many defects. All of the characters undergo enormous trauma and the actors rise to the challenge of portraying believable emotions in a very unbelievable setting."
