,title,Topic,summary
29,사내 맞선,Topic1,때로는 불량식품이 땡기지 기대도 없이 암 생각 없이 빌런도 갈등도 없는 게 필요할 때가 있지 드라마 보면서까지 머리 아프고 싶지 않을 때가 있으니까
30,사내 맞선,Topic2,응응 난 죽을 때까지 이런 거 좋아해 안효섭 첨 보는데 어케 섹시 참나 어이없네 세정씨 개이뻐 그냥 난 잼나요
31,사내 맞선,Topic2,고구마 서사가 없고 캐릭터들이 맘에 들어서 재밌었다
32,사내 맞선,Topic2,오랜만에 보는 신데렐라 스토리 딱 가볍게 즐겁게 볼수있어서 넘 좋다
33,사내 맞선,Topic2,화클리쉐 범벅인데 비주얼 맛집이라 즐겁구나
34,사내 맞선,Topic2,스트레스 없는 드라마 오랜만이다 전개도 시원시원하게 빠르고 캐스팅이 완벽함
35,사내 맞선,Topic3,뻔한 클리셰가 많은 로코 드라마였지만 주조연의 케미가 너무 좋았고 아무 생각 없이 편하게 볼 수 있어서 좋았다
36,사내 맞선,Topic3,그저 흐름대로 그렇게 원하는 대로 행해지는 사랑 이야기 이 드라마의 흥행이 많은 지점을 시사해 준다
37,사내 맞선,Topic3,한 치 앞도 틀리지 않는 순간들의 연속
38,사내 맞선,Topic3,뻔해서 재밌다 아아앙 드라마 맨날 재탕만 하고 새 드라마 잘 못 시작하는데 이건 나오는 거 기다리면서 봤다
39,사내 맞선,Topic3,이 감성을 이렇게 완벽하게 재현하다니 부끄러운데 계속 보게 된다
40,스물다섯 스물하나,Topic0,보건교사 안은영 때도 깜짝 놀랐는데 남주혁 오지고 지리고 렛잇고
41,스물다섯 스물하나,Topic0,마지막 쿠키 영상은 굳이 있었어야 됐나 싶다 그래도 본방 챙겨보면서 완주한 드라마는 정말 오랜만이었던 것 같아 성에 안 차는 결말이지만 뭐 썩 나쁘진 않습니다
42,스물다섯 스물하나,Topic0,젊음 그 찬란한 기록 무엇이든 가능한 참 좋을 때
43,스물다섯 스물하나,Topic0,영원할 줄 알았던 청춘 그렇지 않기에 소중한 청춘
44,스물다섯 스물하나,Topic0,언젠가 내 일기장 속에도 적어 놓은 적 있던 말그런 말을 하려던 게 아니었어 서툴고 넘치고 어쩌면 아무것도 아니었을 결정들로 세상이 온통 흔들리던 참 함부로 반짝였던 우리들
45,스물다섯 스물하나,Topic1,미성년자 플러팅은 쉴드 불가 디테일이 아쉽지만 여러모로 생각하지 않고 보면 재미나게 볼 수 있음
46,스물다섯 스물하나,Topic1,화까지밖에 안 봤지만 보는 내내 기분이 너무 좋았다 청춘의 유쾌함과 먹먹함과 뭐 그런 것들이 느껴지고 인물들도 참 귀여웠다 특히 희도와 세 친구들이 나오는 장면들이 가장 좋았고 화에서 나오는 수돗가에서 물놀이 하다가 도망가는 장면은 근래 본 모든 콘텐츠 중 가장 좋았고 벅찼던 장면이었네요
47,스물다섯 스물하나,Topic1,사소한 걱정을 하던 그때가 그립다는 대사에 눈물이 난다 그래서 결심했다 이 드라마 끝까지 보기로
48,스물다섯 스물하나,Topic1,처음엔 아주 유쾌하고 좋았는데 부작이 너무 길어서 그런가 후반부 와서는 작가가 너무 많은 이야기를 하려고 한다는 생각이 들었다
49,스물다섯 스물하나,Topic1,응답하라 김복주 느낌에 스포츠를 소재로 명작이 나오나 했었다 후반부는 참
50,스물다섯 스물하나,Topic2,자신이 좋아하는 걸 몸이 부서져라 열심히 노력하는 사람은 애틋하게 바라볼 수밖에 없다 그래야 나도 내 세계에서 나를 믿고 해내고 싶어지니까
51,스물다섯 스물하나,Topic2,오랜만에 재밌는 드라마를 보나 싶었는데 이건 뭐 겨우 도약하다 내 핵까지 다이빙하는 전개
52,스물다섯 스물하나,Topic2,연기 잘하는 배우들 때문에 정으로 끝까지 봤다
53,스물다섯 스물하나,Topic2,따뜻하고 밝은 성장 드라마 희도와 이진이 이어지는 건 너무 비현실적이었을까
54,스물다섯 스물하나,Topic2,과거는 과거로 남겨두는 게 가장 아름다운 거 같다 어쩌면 가장 해피엔딩일 수도
55,스물다섯 스물하나,Topic3,이런 사랑도 있다고 계속 설득하다가 결국 이런 사랑도 이별할 땐 그저 그런 사랑이 되고 말았다
56,스물다섯 스물하나,Topic3,인생에 있어 영원했으면 하는 순간을 한 번이라도 겪어봤다면 그 인생은 그래도 나름 행복한 인생이라고 본다 모든 건 잠시뿐이고 모두 흘러가는 것이라 할지라도
57,스물다섯 스물하나,Topic3,무지개는 필요 없어 드르륵 탁무지개는 필요 없어 드르륵 탁무지개는 필요 없어 드르륵 탁무지개는 필요 없어 드르륵 탁무지개는 필요 없어 드르륵 탁무지개는 필요 없어 드르륵 탁무지개는 필요 없어 드르륵 탁
58,스물다섯 스물하나,Topic3,충분히 좋은 드라마였다 사람을 사랑하고 사람과 이별하고 모든 과정을 참 아름답게 그려냈다 그 사랑 사이를 청춘과 함께 한 행복을 청춘도 사람도 가장 아름답던 그 순간을
59,스물다섯 스물하나,Topic3,부서지는 햇살 속에 너와 내가 있어 가슴 시리도록 행복한 꿈을 꾸었지 살살에 만나 사랑을 시작해 살살에 마침표를 찍었던 그때 그런 시절이 있었다는 게 행복하다
60,시맨틱 에러,Topic0,체크셔츠 군단 반응 너무 웃김 뭐야
61,시맨틱 에러,Topic0,매일 시에러만 보는 삶 오히려 좋아
62,시맨틱 에러,Topic0,너무 잘생겼음 장재영 언제부터 그렇게 잘생겼나용캬아아악
63,시맨틱 에러,Topic0,다른 걸 봤어요 제목은 생각이 안 나는데 어허헣
64,시맨틱 에러,Topic0,대학 졸업한 지가 언젠데 캠퍼스로 망생김
65,시맨틱 에러,Topic1,감사합니다 감독판 왓챠 오리지널로 송출 추가 구독자 유입 가능성 증가 대본집 기존 드라마 덕후들 콘크리트화 다양한 굿즈가 있지만 위의 두 가지만 하더라도 년간 충분할 것 같습니다 그리고 년 뒤에 시즌 연석동에서 뵙겠습니다
66,시맨틱 에러,Topic1,포토에세이 사러 갔다 온대 여성입니다 감독님 시즌 갑시다 제 지갑 털어주세요 제발
67,시맨틱 에러,Topic1,동픽 이후로 죽은 줄 알았던 내 심장이 뛰기 시작했다
68,시맨틱 에러,Topic1,제게 박서함이라는 남성을 알려주셔서 감사합니다
69,시맨틱 에러,Topic1,과거 장르는 우울한 분위기들이 많아서 관심이 안 갔는데 너무 좋다 상큼쓰 열대 과일 냠냠 감정선도 너무 공감 박재찬님 분위기 크
70,시맨틱 에러,Topic2,드라마화는 좋은데 내용도 재밌는데 배우들 비주얼이 너무
71,시맨틱 에러,Topic2,시즌에는 상우가 연기를 좀 더 잘하길
72,시맨틱 에러,Topic2,완결은 안 났지만 일단 시즌 계약부터 할까요나 급해요
73,시맨틱 에러,Topic2,최고의 작품 캐스팅이 미쳐부렀다 이조합 그대로 시즌 기다릴 수밖에
74,시맨틱 에러,Topic2,제발 시즌까지 제작되길 바라는 드라마 캐스팅 너무 완벽하네요 그리고 연출이나 색감 음악까지 너무 좋았어요
75,시맨틱 에러,Topic3,진정령 이후로 내 인생 망칠 드라마다
76,시맨틱 에러,Topic3,별점 기준이 뭐냐고요 그냥 마음에 들어서 그런 건데요
77,시맨틱 에러,Topic3,위여서 봤는데 생각해보니 드라마 처음 봄 귀엽고 사랑스러운 커플 응원함
78,시맨틱 에러,Topic3,라프텔에서 애니로 처음 접해 봤는데요 애니보다 구성도 알차고 내용도 다양해서 정말 재미있게 봤어요 이라는 소재를 이걸로 알게 되어 좋았다
79,시맨틱 에러,Topic3,때깔 좋고 각색 좋고 케미 좋고 방향성도 좋다 시즌 기원
80,악의 마음을 읽는 자들,Topic0,악은 사라지지 않는다 또 다른 형태로 우리에게 나타날 뿐
81,악의 마음을 읽는 자들,Topic0,급하게 마무리되는 것이 아쉽지만 수작
82,악의 마음을 읽는 자들,Topic0,광고질만 없었다면 최고의 드라마가 될 뻔했다 김남길 빛나고 빛난다
83,악의 마음을 읽는 자들,Topic0,마인드 헌터에 비교해도 빠지지 않을 웰메이드 드라마 마지막 회 폭풍처럼 몰아치는 에정신이 혼미해 저별 하나는 뺌
84,악의 마음을 읽는 자들,Topic0,선과 악의 기준은 그걸 생각으로 끝내느냐 나아가 행동으로 보이느냐가 아닐까 어둠이 깊어지면 깊어질수록 그 속에 빛나는 한줄기 빛은 더 밝게 빛나 보인다 범죄 드라마 속에 휴머니즘이 더 돋보이듯이
85,악의 마음을 읽는 자들,Topic1,실제로 일어난 사건들과 실제 프로파일러들의 경험담을 바탕으로 한 드라마 그럼으로 드라마틱한 반전이나 현란한 액션은 없지만 담백하고 차분하게 가슴을 울리는 진지함과 무거움이 느껴진다 아쉬운 점이 있다면 전반적인 분위기나 구성 스타일 음악 등이 드라마 시그널을 쉽게 떠오르게 만든다는 것 왠지 스스로를 아류작으로 만든 느낌이 다 충분히 다르게 평가 받을 수 있었음에도 말이다
86,악의 마음을 읽는 자들,Topic1,화까지 못 봤지만 재밌게 보고 있습니다 다만 죽은 여성의 위장에서 음식물 섭취 후 시간 이내에 죽었다고 해서 남자친구가 간 이후에 밥을 먹고 죽은 줄 알았지만 새모이만큼 먹은 것도 음식물로 나온 게 조오금 의아했지만 재밌어요
87,악의 마음을 읽는 자들,Topic1,넷플릭스 오리지널과 웨이브 오리지널의 차이점이 좋은 작품에 을 끼얹다니 아쉽다 아쉬워
88,악의 마음을 읽는 자들,Topic1,드라마 속 사건이 너무 현실의 사건들과 닿아 있어서 드라마 자체로서 즐기기는 힘들었다
89,악의 마음을 읽는 자들,Topic1,실화바탕이라 범죄자들 나무위키 찾아보면서 봤다 드라마 볼 때보다 나무위키 볼 때가 더 빡침
90,악의 마음을 읽는 자들,Topic2,주어어어어라줠라졸라 재밌고 다들 연기 미쳤음 시즌 파트 나와주라주
91,악의 마음을 읽는 자들,Topic2,연출 대사 스토리 모두 좋은데 특히 범인들의 연기가 다들 너무 훌륭해서 소름이 돋는다
92,악의 마음을 읽는 자들,Topic2,제대로 다 진짜 연기 연출 다 굉장함
93,악의 마음을 읽는 자들,Topic2,걸작 드라마이다 올해의 드라마임 왜 이렇게 짧은 거냐 그게 단점이다
94,악의 마음을 읽는 자들,Topic2,경상도 사람으로서 사투리 말고는 정말 재밌게 보고 있다 하지만 그런 사투리조차도 매력적으로 다가온다 진선규 배우님 역시 묘한 매력쟁이다
95,악의 마음을 읽는 자들,Topic3,적정한 선에서 바라보는 그들의 마음
96,악의 마음을 읽는 자들,Topic3,범죄 장면만큼이나 심문하는 장면도 기괴하고 공포스러울 수 있음을 깨닫게 되었다
97,악의 마음을 읽는 자들,Topic3,미안하다 별점 깍았다 너무 무서워서 불면증 온 레드썬 필요 엄청 무서운데 엄청 잼김남길짱
98,악의 마음을 읽는 자들,Topic3,그래 모든 시리즈가 다 부작일 필요는 없지 클리셰 덩어리라도 시점이 달라지니 신선해진다
99,악의 마음을 읽는 자들,Topic3,악에도 마음이 있을까를 곱씹는다 악이 아닌 우리는 생각이 아닌 마음을 읽어야 하기에 어쩔 수 없이 악의 마음을 읽어야 한다 그러면서 마음을 읽지 못하게 하는 악보다 그들의 마음을 이해하지 못하는 우리가 더 상처받는다 하지만 어쩌겠나 그들의 생각이라도 읽어야 또 다른 악을 막을 수 있는데 송하영이라고 쓰고 권일용이라고 읽는 한 사람의 발걸음이 얼마나 무거웠을지 그 시대를 살아가며 사랑하는 이들을 잃은 사람들의 마음이 얼마나 처참히 찢겨 나갔을지를 생각해 본다 악의 마음은 읽고 그들의 마음은 어루만질 수 있기를
100,나의 아저씨,Topic0,아이유의 작품 선택이 실망스러울 정도 아쉽다
101,나의 아저씨,Topic0,지안 편안함에 이르렀나네 네 그 두 번째 대답이 남기는 울림
102,나의 아저씨,Topic0,이 세상의 모든 지안과 동훈의 등 뒤에서 외치는 파이팅
103,나의 아저씨,Topic0,지안은 늘 동훈을 살리고 동훈은 지안이 처음 살아보게 해주고 이 드라마는 저를 살리네요
104,나의 아저씨,Topic0,세상에 과연 일말의 혐오도 없는 작품이 존재하긴 할까 그럼에도 간만에 보는 좋은 드라마 그래도 제목은 진짜 별로다우린 둘 다 자기가 불쌍해요
105,나의 아저씨,Topic1,담을 수 있는 건 한정적인데 보여주고 싶은 게 많다 보니 이질적인 캐릭터에 이질적인 흐름 집중이 흐려진다
106,나의 아저씨,Topic1,프레임을 떠나 우리가 직면하는 현실에 그래서 사실은 알면서도 모르는 척하는 일들을 담담하게 보여주는 드라마인데 따뜻함을 기록하려 들어왔다가 불편함을 느끼게 한다 아무 일도 아니야라고 주위에 소중한 사람들이 있으면 더 좋겠다
107,나의 아저씨,Topic1,구식 남자들을 위한 로망 종합 세트 있을 수 없는 현실 판타지 완벽하게 애잔한 두 주인공
108,나의 아저씨,Topic1,모든 관계는 일정 수준 이상 깊어지면 로맨틱한 면모를 띤다라는 김보라 감독님의 말 서로에게 로맨틱한 사람들이 너무나 많다
109,나의 아저씨,Topic1,장거리 호흡을 잘 이끌고 온 작가 그 호흡 가운데 있는 따스함 두 번 봐도 역시 띵작 그리고 더 몰입데는 인물들의 감정선
110,나의 아저씨,Topic2,진짜 어른어른이 되고 싶다 나는 누군가의 진짜 어른이 되고 싶다
111,나의 아저씨,Topic2,코로나로 집콕하며 엄마 아빠랑 한번에 몰아본 인생 드라마
112,나의 아저씨,Topic2,슬픔이 깊어지면서 여운이 깊어진다 해피엔딩이 아쉬울 정도로
113,나의 아저씨,Topic2,내 인생에서 저런 어른은 없었지만 내가 저런 어른이 돼야겠다고 생각하게 해준 드라마 누군가에게 의지가 되고 있다는 것만으로도 위안을 받을 수 있기에
114,나의 아저씨,Topic2,담고 있는 내용 배우들의 연기 거를 것 없이 모두 좋았다 그 중에서도 가장 대단한 건 대사 한 줄 없는 손숙님의 연기였다 감사합니다
115,나의 아저씨,Topic3,다 좋은데 너무 아저씨 포르노 아저씨들의 판타지임 아저씨들이 꿈꾸는 세상
116,나의 아저씨,Topic3,아무 의미 없는 선의도 존재한다 선의를 무슨 뜻이 있어서 행한다고 생각하지 말고 그 선의를 잘 받아서 또 다른 이에게 선의를 베풀다 보면 세상은 조금 더 살 만한 곳으로 변해 있을 것이라 믿는다
117,나의 아저씨,Topic3,몇몇 왜곡된 시선에 의해 매도당하기에는 굉장히 아까운 드라마임은 분명하다 이 드라마를 아저씨들의 판타지로 치부하기에는 드라마 속 아저씨들의 삶이 너무 비극적이지 않나 물론 한번도 안봤으니까 모르겠지만
118,나의 아저씨,Topic3,이제 진짜 행복하자 긴장의 연속에 놓이고 끝없는 지하철 터널을 지나 한숨소리와 터널 끝에 놓인 빛을 보면 나도 같이 마음이 놓이게 된다 몇 년 만에 챙겨 본 나의 드라마
119,나의 아저씨,Topic3,차가운 삶에 온기를 전해주는 인생드라마 망하는 것이 두렵거나 혹은 이미 망해서 괴로운 인생에게 행복을 알려주는 화이팅 드라마 생면부지 남을 통해 숨기고 싶은 치부까지 감싸주는 위로가 이뤄진다 열패감으로부터 자유한 아저씨 나라 지금도 다들 어디선가 씩씩하게 살아가고 있을 것만 같다
120,소년심판,Topic0,재밌네와 올해 드라마 중에 거의 최고인데 화에서 울었다 정의로운 거 좋아하네나 신파가 있어서 오히려 좋은 드라마
121,소년심판,Topic0,어른의 책임과 시스템 모두 제자리에서 제 기능을 하지 못했을 때 그 모든 댓가는 아이들에게 돌아간다 당신은 이런 사회에서 아이를 낳아 건전하게 키울 자신이 있는가
122,소년심판,Topic0,간만에 한국다운 한국 드라마를 보았다
123,소년심판,Topic0,김혜수가 꿋꿋하게 화를 끌고 간다기 대했던 것처럼 신나게 사이다 팡팡 터지진 않는데 그냥 김혜수 하나로 충분했다
124,소년심판,Topic0,특히 제자를 포함하여 무책임이 어디서부터 비롯되는지 무엇을 야기시키는지 생각하게 한다 믿고 보는 김혜수
125,소년심판,Topic1,혐오를 필두로 정의가 아닌 포용에 대해 묻다
126,소년심판,Topic1,소년범을 혐오하지만 결국 그들을 위하는 판사의 이야기
127,소년심판,Topic1,현실에선 사법농단이 일어나고 있는 이 시국에 대한민국의 판사 나리들께서 진짜 이렇게 일하는지 묻고 싶다
128,소년심판,Topic1,진짜 너무 재미있다 우리가 한번은 들어봤었던 이슈를 잘 표현해 준 것 같고 판사 개개인에 감정씬도 몰입도가 높았다 띵작
129,소년심판,Topic1,애초에 소재가 가지고 있던 질문일 뿐 작품이 거기서 더 묻고 싶은 건 없어 보인다 그리고 차가워야 할 관점에 뜨거운 감정을 계속 들이부은 만큼 표피적인 관점에 머문다
130,소년심판,Topic2,심판사 역을 맡은 김혜수가 목소리 낮게 까는 게 처음엔 적응이 안 됐는데 다른 출연자 분들의 연기에 그만 잊혀졌다 더도 말고 딱 화까지 뇌절없이 재밌었던 드라마였다
131,소년심판,Topic2,근래 시리즈물 중 권선징악에 대해 가장 맛있게 작품이 나왔다고 생각함 시간 가는 줄 모르고 봤다
132,소년심판,Topic2,좋은 연출 좋은 극본 좋은 배우가 만났을 때
133,소년심판,Topic2,흔한 스토리인데 연출 연기가 상당히 몰입감 있네요
134,소년심판,Topic2,모든 배우의 연기력이 진심으로 소름돋는다
135,소년심판,Topic3,법도 시대에 맞게 유연하게 변화해야 하지 않을까
136,소년심판,Topic3,감정의 밑바닥이 드러날 줄 알면서도 끝끝내 마주 봐야 하는 것들
137,소년심판,Topic3,왜 감히 남의 인생 박살낸 놈들한테 고작 어리단 이유로 기회를 주어야 하지
138,소년심판,Topic3,아이의 세계는 얼마나 작고 소중한지 그 보물같은 꿈과 미래는 얼마나 깨지기 쉬운지
139,소년심판,Topic3,부디 조금이라도 변화가 있길 이 울림이 그저 감정의 동요로만 끝나지 않길
140,비밀의 숲,Topic0,되니까 하는 겁니다 눈 감아주고 침묵해주니까 우리 모두가 동기를 가진 범죄를 저지르는 것이다
141,비밀의 숲,Topic0,정말 한국 드라마스럽지 않게 달려가다 마지막에 범인을 그래 버리면 어케함 아쉬운 마지막만 빼면 별다삿도 모자른
142,비밀의 숲,Topic0,범인 쫓는 드라만 줄 알았는데 마지막에 잡힌 건 대한민국 사회였네
143,비밀의 숲,Topic0,세상의 모든 서동재와 경찰팀장들에게 아직 기회는 있다
144,비밀의 숲,Topic0,욕망이 이 세상에 남기는 족적을 구체적이고 정확하게 표현한다
145,비밀의 숲,Topic1,이창준 차장에 의해 시작되어 이창준 검사장으로 모든 게 끝났다
146,비밀의 숲,Topic1,이 작품을 본 후에 드라마를 더 이상 못 보겠다 완벽한 작품을 보고 수준이 올라갔다 명작 그 자체다
147,비밀의 숲,Topic1,좋은 이야기를 보고 나면 자꾸 좋은 점을 찾으려 하고 장면 장면마다 의미 부여를 하게 된다
148,비밀의 숲,Topic1,최근 스킵 중독자가 된 이후로 드라마를 제대로 본 적이 없었는데 스킵 없이 대부분 집중해서 봤다
149,비밀의 숲,Topic1,드라마틱한 스토리에도 결코 인위적이지 않다 오히려 사실적이다 정의에 불타서 사사건건 분노하지 않는 주인공이라 좋다 현실과 드라마 사이 적당한 거리감
150,비밀의 숲,Topic2,시즌의 각본에 대한 의심을 하게 만듦시즌 각본이 좋았던 게 아니라 배우들의 연기와 연출이 살린 게 아닐까라는
151,비밀의 숲,Topic2,올해의 드라마 올해의 캐릭터 올해의 전개 그리고 올해의 작가
152,비밀의 숲,Topic2,배우 연기력 연출 스토리 전개 다 완벽진짜 조승우는 레전드
153,비밀의 숲,Topic2,이게 작가님 입봉작이라구요 천재신가 이거 안 보는 사람들은 꼭 봤으면 좋겠다 배우들의 연기랑 연출 스토리 하나도 빠지는 게 없다 조승우 존멋
154,비밀의 숲,Topic2,솔직히 명작이라기엔 스토리가 너무 아쉽다 하지만 감독의 신들린 연출이 작품 분위기를 끌고 갔고 배우들의 연기력으로 거의 명작 반열에 오른 느낌
155,비밀의 숲,Topic3,생각하며 쓴 드라마 가족이야기보다 사랑이야기보다 우리에게 더 가까운 이야기
156,비밀의 숲,Topic3,시즌를 보다가 시즌을 다시 정주행해서 봤다 거대한 설계로 처음부터 끝까지 긴장을 늦출 수 없었다
157,비밀의 숲,Topic3,잘가요 가는 건 못 보겠지만 잘해요 승진하는 건 못 보겠지만 소소한 장면들이 주는 행복이 나까지 행복했다 잘살자 그렇게 행복하지는 않겠지만
158,비밀의 숲,Topic3,인간성을 제거당한 검사가 가장 인간적인 검사상이라는 아이러니 우리가 말하는 인간적이라 함은 무엇인가
159,비밀의 숲,Topic3,한국에서 이런 드라마가 많이 나왔으면 좋겠다 불필요한 장면도 없고 불필요한 억지 로맨스도 없는 인생 드라마
160,멜로가 체질,Topic0,마지막 회로 가는 여정이 아깝다는 생각이 들어서 정말 아껴본 드라마입니다 시즌 원해요
161,멜로가 체질,Topic0,본투비 수다수다가 알파요 수다가 오메가
162,멜로가 체질,Topic0,서른이라는 나이를 준비하면서 꼭 봐야 하는 드라마 결말까지 깔끔담백해서 더 좋다
163,멜로가 체질,Topic0,수다에 녹아 있는 많은 이의 시간을 느끼고 싶어 아껴가며 수주에 걸쳐 본 드라마편 넘어가며 수다도 지쳐감을 느끼지만 끝나보면 그래 자세한 얘기는 만나서 하자는 것 같은 대화의 시간을 보낸 느낌 볼만해요 보고 싶어요
164,멜로가 체질,Topic0,을 코앞에 둔 나에게 주는 선물 같은 드라마 우리 나이 너무 좋은 거 같아 뭔가를 다시 시작해도 어색하지 않을 나이 중엔 제일 노련하고 뭔가를 다시 시작하기에 애매한 나이 중엔 제일 민첩하고
